state_ut,district,total_crimes,risk_score,risk_label,crime_rate
ARUNACHAL PRADESH,SUBANSIRI LOWER,3191.0,0.00012480210008573056,low,0.0005863628286760273
ARUNACHAL PRADESH,SUBANSIRI UPPER,3857.0,0.00015084979631170878,low,0.0007087437888446998
ARUNACHAL PRADESH,TAWANG,1350.0,5.279938424184778e-05,low,0.0002480695138554174
ARUNACHAL PRADESH,TIRAP,3527.0,0.00013794328016370155,low,0.0006481045743467089
ARUNACHAL PRADESH,TOTAL,62474.0,0.0024433990600927396,high,0.011479922080446922
ARUNACHAL PRADESH,UPPER DIBANG VALLEY,315.0,1.2319856323097814e-05,low,5.788288656626405e-05
ASSAM,BAKSA,1458.0,5.702333498119561e-05,low,0.00026791507496385075
ASSAM,BARPETA,62189.0,0.0024322525234194603,low,0.011427551849744111
ASSAM,BASKA,7038.0,0.00027526078984749973,low,0.0012932690655662426
ASSAM,BIEO,32.0,1.251540959806762e-06,low,5.880166254350634e-06
ASSAM,BONGAIGAON,28835.0,0.0011277557367508745,high,0.0052985810607562665
ASSAM,C.I.D.,782.0,3.058453220527775e-05,low,0.0001436965628406936
ASSAM,CACHAR,107677.0,0.004211317997784772,high,0.01978620818030354
ASSAM,CHIRANG,10062.0,0.0003935314105492388,low,0.0018489447766023774
ASSAM,DARRANG,47496.0,0.0018575996695931866,high,0.008727636763019929
ASSAM,DHEMAJI,27237.0,0.0010652569100705243,high,0.005004940258429632
ASSAM,DHUBRI,80587.0,0.0031518103539983607,high,0.014808279935604829
ASSAM,DIBRUGARH,58368.0,0.0022828107106875337,medium,0.010725423247935557
ASSAM,G.R.P.,8766.0,0.00034284400167706487,low,0.0016107980433011768
ASSAM,GOALPARA,39667.0,0.0015514023516454635,high,0.007289017337853956
ASSAM,GOLAGHAT,42472.0,0.001661107738903525,high,0.007804450661086879
ASSAM,GUWAHATI CITY,173862.0,0.006799856698560101,high,0.031948045791059684
ASSAM,HAILAKANDI,27291.0,0.0010673688854401981,low,0.005014863038983849
ASSAM,HAMREN,331.0,1.2945626803001196e-05,low,6.082296969343937e-05
ASSAM,JORHAT,40755.0,0.0015939547442788936,low,0.007488942990501878
ASSAM,KAMRUP,58804.0,0.002299862956264901,high,0.010805540513151083
ASSAM,KARBI ANGLONG,18160.0,0.0007102494946903376,low,0.003336994349343985
ASSAM,KARIMGANJ,33256.0,0.0013006639424791775,low,0.006110962779833896
ASSAM,KOKRAJHAR,36903.0,0.0014433005012421543,high,0.00678111797763442
ASSAM,LAKHIMPUR,47870.0,0.0018722270545609282,high,0.008796361206117652
ASSAM,MORIGAON,30046.0,0.0011751187399485616,high,0.005521108602444348
ASSAM,N.C. HILLS,0.0,0.0,low,0.0
ASSAM,N.C.HILLS,5993.0,0.00023439015537881014,low,0.0011012448863226046
ASSAM,NAGAON,114797.0,0.004489785861341777,medium,0.021094545171896555
ASSAM,NALBARI,31592.0,0.001235583812569226,high,0.005805194134607663
ASSAM,R.P.O.,2258.0,8.831185897636466e-05,low,0.0004149192313226166
ASSAM,SIBSAGAR,54706.0,0.0021395874920996476,high,0.010052511722203306
ASSAM,SONITPUR,75731.0,0.002961889013347684,medium,0.013915964706507121
ASSAM,TINSUKIA,55092.0,0.002154684204927317,high,0.01012344122764641
ASSAM,TOTAL,1343775.0,0.05255592041451037,high,0.24692563776375073
ASSAM,UDALGURI,13746.0,0.0005376150635469923,low,0.0025258989166344944
Andhra Pradesh,ADILABAD,14161.0,0.0005538459853694862,medium,0.002602157322745604
